,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.5,17.8%,74.1%,8.1%,126
1,Phantom,8.3,15.8%,74.6%,9.6%,123
2,Spectre,3.2,12.4%,76.6%,11%,94
3,Operator,3.2,10%,83.7%,6.3%,148
4,Ghost,2.4,19.9%,71.7%,8.4%,84
5,Odin,2.0,12.1%,73.1%,14.8%,104
6,Judge,1.8,13%,70.2%,16.8%,100
7,Frenzy,1.5,16.5%,74.1%,9.3%,88
8,Classic,1.5,16.2%,76.5%,7.3%,77
9,Guardian,1.5,31.6%,67.4%,1.1%,145
10,Bulldog,1.4,16.6%,80.2%,3.2%,113
11,Sheriff,1.3,20.2%,75.1%,4.7%,103
12,Marshal,1.2,19.3%,75.2%,5.5%,120
13,Ares,1.2,5.2%,68.6%,26.2%,105
14,Stinger,0.7,24.7%,68.9%,6.3%,97
15,Shorty,0.6,13.6%,70.8%,15.6%,70
16,Bucky,0.4,15.6%,80%,4.4%,60
