,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Phantom,5.8,11.4%,76%,12.6%,117
1,Vandal,5.3,11.2%,72.5%,16.3%,110
2,Spectre,4.4,10.8%,73%,16.2%,96
3,Ares,3.2,8.8%,71.3%,20%,99
4,Judge,2.4,12.2%,71.6%,16.2%,108
5,Odin,2.1,8.4%,63.4%,28.2%,107
6,Operator,1.8,9.5%,83.3%,7.1%,127
7,Bulldog,1.7,6.4%,75.2%,18.3%,99
8,Ghost,1.6,12.7%,73.2%,14.2%,78
9,Sheriff,1.5,16.4%,68.7%,14.9%,100
10,Classic,1.3,11.1%,72.2%,16.7%,70
11,Guardian,1.3,8.6%,65.7%,25.7%,119
12,Marshal,1.1,11.1%,81.5%,7.4%,131
13,Stinger,1.1,3.2%,77.8%,19%,109
14,Frenzy,0.9,18.8%,81.3%,0%,100
15,Bucky,0.9,19.4%,71%,9.7%,79
16,Shorty,0.7,26.7%,56.7%,16.7%,74
