,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,9.7,21.6%,72.4%,6%,125
1,Phantom,6.9,18.4%,74%,7.6%,124
2,Spectre,3.0,15%,76.7%,8.3%,87
3,Operator,3.0,19.5%,75.6%,4.9%,152
4,Ghost,2.5,25.8%,67.8%,6.4%,90
5,Odin,2.0,17.6%,55.9%,26.5%,134
6,Guardian,2.0,60%,40%,0%,179
7,Sheriff,1.8,34%,60.1%,5.9%,114
8,Classic,1.6,17.3%,77.1%,5.7%,76
9,Ares,1.5,5%,95%,0%,100
10,Judge,1.3,16.3%,73.1%,10.6%,89
11,Frenzy,1.2,24.2%,68.7%,7.1%,94
12,Stinger,1.0,23.5%,70.6%,5.9%,140
13,Shorty,0.3,20%,66.7%,13.3%,72
14,Bulldog,0.3,0%,72%,28%,83
15,Marshal,0.0,0%,100%,0%,78
16,Bucky,0.0,20%,80%,0%,37
