,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.3,19.8%,74.3%,5.9%,128
1,Phantom,7.2,17.9%,74.4%,7.7%,120
2,Spectre,3.1,15.6%,75.6%,8.8%,93
3,Operator,3.0,16%,82.2%,1.8%,156
4,Odin,2.0,0%,76.5%,23.5%,155
5,Ghost,1.9,21.1%,71.1%,7.7%,86
6,Classic,1.7,19.9%,72.2%,8%,78
7,Guardian,1.5,27%,63.5%,9.5%,140
8,Ares,1.5,0%,75%,25%,111
9,Sheriff,1.4,22.6%,74.5%,2.9%,102
10,Judge,1.4,14.4%,68.7%,16.9%,94
11,Frenzy,1.4,17.3%,76.6%,6.1%,79
12,Stinger,1.3,25.8%,69.9%,4.3%,113
13,Bulldog,1.3,16.2%,76%,7.8%,119
14,Shorty,1.1,13.3%,79.1%,7.6%,99
15,Marshal,0.9,27.8%,66.7%,5.6%,118
16,Bucky,0.9,7.9%,77.8%,14.3%,64
