,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.6,19.1%,74.6%,6.4%,123
1,Phantom,7.8,18.9%,73.9%,7.2%,120
2,Spectre,3.1,16.1%,74.6%,9.3%,93
3,Odin,2.7,13%,80.4%,6.5%,98
4,Ghost,2.0,22.4%,72.3%,5.3%,87
5,Operator,1.6,4.2%,89.6%,6.3%,135
6,Classic,1.5,19.6%,73.9%,6.5%,73
7,Frenzy,1.5,20.7%,70.1%,9.2%,77
8,Guardian,1.5,11.1%,88.9%,0%,102
9,Sheriff,1.4,22.8%,70.3%,6.8%,106
10,Stinger,1.4,15.9%,81%,3.2%,90
11,Judge,1.4,11%,72.2%,16.7%,87
12,Bulldog,1.1,14.5%,74.5%,10.9%,104
13,Ares,1.0,7.1%,82.1%,10.7%,111
14,Shorty,0.6,10.3%,80.9%,8.8%,85
15,Marshal,0.5,19%,81%,0%,109
16,Bucky,0.0,13.3%,86.7%,0%,81
