,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,6.2,10.7%,73.1%,16.2%,116
1,Phantom,5.7,10.8%,71.6%,17.6%,114
2,Spectre,5.0,9.9%,73%,17.1%,92
3,Odin,3.4,8.7%,71.5%,19.8%,113
4,Ares,3.0,6.1%,70.9%,22.9%,90
5,Bulldog,2.5,7.4%,77.8%,14.8%,96
6,Ghost,2.1,9.9%,72.9%,17.3%,81
7,Guardian,2.1,15.1%,69.8%,15.1%,122
8,Judge,2.0,10.8%,71.6%,17.6%,93
9,Operator,1.9,6.7%,88.9%,4.4%,132
10,Classic,1.6,10.3%,77.5%,12.2%,66
11,Marshal,1.4,10.6%,80.9%,8.5%,117
12,Bucky,1.2,8.1%,65.2%,26.7%,94
13,Sheriff,1.1,15.8%,70.2%,14%,94
14,Frenzy,0.7,9.3%,75.9%,14.8%,74
15,Stinger,0.5,9.8%,68.3%,22%,70
16,Shorty,0.4,21.1%,63.2%,15.8%,61
