,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,11.7,15.7%,75.3%,9%,123
1,Phantom,8.4,14.9%,75.2%,9.9%,123
2,Spectre,4.0,11.7%,76%,12.3%,94
3,Operator,3.3,9.9%,85.6%,4.5%,148
4,Odin,2.9,10.6%,70.8%,18.7%,114
5,Ghost,2.7,18%,74.2%,7.7%,86
6,Classic,1.9,14.1%,76.9%,9%,73
7,Frenzy,1.6,13.4%,76.2%,10.4%,80
8,Ares,1.5,8.5%,75.3%,16.2%,96
9,Sheriff,1.5,19.6%,74.1%,6.3%,101
10,Judge,1.5,11%,72.8%,16.3%,96
11,Guardian,1.4,18.9%,76.4%,4.7%,134
12,Marshal,1.2,21.5%,72.5%,6%,122
13,Bulldog,1.2,13.4%,76.6%,10%,105
14,Stinger,1.0,14.8%,73.9%,11.3%,93
15,Bucky,0.8,12.4%,78.8%,8.9%,86
16,Shorty,0.8,12.4%,74.9%,12.7%,82
