,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,8.8,14.1%,75%,10.9%,122
1,Phantom,5.9,14.2%,75.1%,10.7%,123
2,Spectre,3.7,11.5%,75.4%,13.1%,94
3,Operator,2.9,8.8%,87.8%,3.3%,145
4,Odin,2.9,11.7%,68.3%,20%,117
5,Ares,2.6,7.8%,74.6%,17.6%,97
6,Ghost,2.3,17%,74.6%,8.4%,84
7,Judge,1.8,10.7%,71%,18.4%,98
8,Classic,1.6,14.2%,75.1%,10.7%,70
9,Guardian,1.3,13.4%,77.6%,9%,136
10,Frenzy,1.2,13.3%,75.9%,10.8%,78
11,Stinger,1.2,16%,75.4%,8.6%,95
12,Sheriff,1.2,16.5%,75.7%,7.8%,100
13,Bulldog,1.1,12.5%,77.4%,10.2%,98
14,Marshal,1.0,18.9%,73%,8.2%,124
15,Bucky,1.0,15.5%,72.4%,12.1%,87
16,Shorty,0.9,11.2%,71.7%,17%,70
