,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,9.9,16.6%,74.7%,8.7%,123
1,Phantom,7.2,15.6%,75.6%,8.8%,122
2,Spectre,3.3,12.8%,74.9%,12.4%,96
3,Operator,3.0,7.5%,88.1%,4.4%,145
4,Odin,2.8,8.5%,71.2%,20.3%,118
5,Ghost,2.3,18.8%,73.1%,8.1%,85
6,Judge,1.7,12.1%,73.2%,14.6%,94
7,Classic,1.5,15.2%,76.2%,8.6%,73
8,Bulldog,1.5,13.5%,76.4%,10.1%,111
9,Ares,1.5,6%,74.6%,19.4%,95
10,Sheriff,1.3,21.3%,73%,5.7%,106
11,Frenzy,1.3,16.9%,73.7%,9.4%,81
12,Guardian,1.3,19.8%,74.1%,6.2%,135
13,Marshal,1.0,22.8%,74.8%,2.4%,127
14,Stinger,0.9,14.3%,77.4%,8.2%,94
15,Bucky,0.8,20.2%,71.5%,8.3%,91
16,Shorty,0.7,15.2%,69.9%,15%,82
