,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,9.1,13.1%,75.1%,11.8%,123
1,Phantom,4.9,11.3%,75.4%,13.3%,116
2,Spectre,3.9,10.5%,75%,14.4%,95
3,Odin,3.8,9.8%,70.4%,19.8%,115
4,Ares,2.7,8%,71.7%,20.3%,98
5,Operator,2.6,10.6%,85.7%,3.7%,150
6,Ghost,2.3,15.1%,74.6%,10.2%,84
7,Judge,2.2,11.2%,70.2%,18.6%,95
8,Sheriff,1.6,18.3%,72.6%,9.1%,102
9,Classic,1.6,12%,76.9%,11.1%,70
10,Frenzy,1.3,12.2%,77.4%,10.4%,79
11,Marshal,1.2,18.6%,74.1%,7.2%,122
12,Bulldog,1.1,12.1%,74.4%,13.5%,107
13,Guardian,1.1,15.6%,79.3%,5.2%,128
14,Stinger,0.9,13.4%,73.1%,13.4%,92
15,Shorty,0.8,9%,71.9%,19.2%,76
16,Bucky,0.7,11.1%,78.7%,10.2%,81
