,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,12.4,19.2%,74%,6.7%,124
1,Phantom,8.5,18.2%,74.4%,7.5%,124
2,Spectre,3.7,15.7%,74.6%,9.7%,91
3,Operator,3.0,5.7%,92.4%,1.9%,141
4,Ghost,2.2,21.3%,73.4%,5.4%,82
5,Judge,2.0,15.3%,69.4%,15.3%,103
6,Ares,2.0,6.3%,56.3%,37.5%,82
7,Classic,1.8,19.8%,75.4%,4.8%,74
8,Sheriff,1.5,19.1%,75.1%,5.8%,99
9,Guardian,1.5,28.2%,71.8%,0%,146
10,Odin,1.3,14.7%,76.5%,8.8%,117
11,Frenzy,1.2,14.5%,79.6%,5.9%,83
12,Stinger,1.1,25.9%,68.5%,5.6%,101
13,Marshal,0.9,22.7%,72.7%,4.5%,134
14,Bulldog,0.9,13.3%,81.7%,5%,98
15,Shorty,0.7,17.2%,74.7%,8.1%,94
16,Bucky,0.6,20%,66.7%,13.3%,73
