,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,13.5,22.8%,70.9%,6.3%,123
1,Phantom,10.2,20.1%,73.6%,6.3%,114
2,Spectre,3.8,19.6%,71.1%,9.3%,92
3,Operator,3.8,2%,92%,6%,142
4,Stinger,2.7,9.1%,81.8%,9.1%,78
5,Judge,2.6,11.6%,73.9%,14.5%,93
6,Frenzy,2.3,15%,78.9%,6.1%,87
7,Bulldog,2.3,5.1%,89.7%,5.1%,102
8,Ghost,2.1,26.3%,70.1%,3.6%,90
9,Guardian,2.0,50%,50%,0%,130
10,Sheriff,1.9,25.1%,72.7%,2.1%,103
11,Classic,1.7,16.7%,77.4%,6%,73
12,Ares,1.3,3.6%,75%,21.4%,94
13,Marshal,1.0,16.7%,66.7%,16.7%,133
14,Odin,1.0,9.1%,63.6%,27.3%,118
15,Shorty,0.0,13.3%,60%,26.7%,97
16,Bucky,0.0,25%,75%,0%,100
