,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,14.8,21%,72.8%,6.2%,122
1,Phantom,13.3,20.7%,72.7%,6.6%,125
2,Operator,6.0,11.7%,85.9%,2.5%,152
3,Spectre,4.2,15.7%,75.6%,8.7%,92
4,Ghost,2.9,26.7%,69.7%,3.6%,89
5,Odin,2.8,16.9%,78.5%,4.6%,125
6,Classic,2.5,19.6%,76.1%,4.2%,73
7,Judge,2.4,12%,70.5%,17.6%,93
8,Sheriff,2.0,22.4%,69.2%,8.5%,106
9,Frenzy,1.8,21.4%,73.7%,4.9%,82
10,Bulldog,1.6,22.8%,68.5%,8.7%,116
11,Guardian,1.1,35.7%,46.4%,17.9%,149
12,Ares,1.0,0%,76.9%,23.1%,99
13,Bucky,0.8,13.3%,86.7%,0%,79
14,Shorty,0.7,14.9%,65.3%,19.8%,73
15,Marshal,0.6,22.2%,66.7%,11.1%,114
16,Stinger,0.4,10%,73.3%,16.7%,63
