,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.65,10.7,16.3,4.7,30.8%,17.8%,157,15.5%,"1,326"
1,Jett,1.30,16.8,12.8,3.7,60%,13.7%,248,14.9%,"1,020"
2,Raze,0.67,10.3,15.4,4.4,41.2%,11.6%,166,10.9%,867
3,Reyna,0.78,12.4,15.9,3.8,53.8%,8.9%,187,13%,663
4,Killjoy,0.82,10.6,12.9,3.7,50%,6.8%,176,3.8%,510
5,Viper,0.97,12.4,12.8,4.0,60%,6.8%,177,6.5%,510
6,Skye,0.67,8.8,13.1,2.6,44.4%,6.2%,144,19%,459
7,Sova,0.83,13.9,16.6,7.0,75%,5.5%,190,10.8%,408
8,Yoru,1.19,14.3,12.0,3.5,37.5%,5.5%,248,20.2%,408
9,Phoenix,0.83,10.1,12.3,4.3,75%,5.5%,164,11.1%,408
10,Brimstone,0.88,13.0,14.9,5.4,57.1%,4.8%,198,9.9%,357
11,Omen,1.15,15.6,13.6,4.4,60%,3.4%,227,14.1%,255
12,Astra,1.14,16.0,14.0,5.0,50%,1.4%,226,9.4%,102
13,Cypher,1.00,19.0,19.0,4.5,0%,1.4%,217,13.2%,102
14,Breach,0.60,9.0,15.0,7.0,100%,0.7%,121,11.1%,51
