,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,0.96,14.9,15.6,2.3,25%,27.4%,228,17.4%,"1,020"
1,Viper,0.83,11.7,14.1,6.2,66.7%,12.3%,164,6.7%,459
2,Sage,0.78,12.4,16.0,3.4,0%,12.3%,188,17.9%,459
3,Reyna,0.78,13.3,17.0,4.9,44.4%,12.3%,187,18.3%,459
4,Skye,0.85,13.4,15.9,2.1,28.6%,9.6%,192,12.8%,357
5,Sova,1.46,16.5,11.3,6.3,66.7%,8.2%,236,8.1%,306
6,Phoenix,1.18,13.0,11.0,2.0,66.7%,4.1%,219,23.1%,153
7,Killjoy,1.13,17.3,15.3,2.7,66.7%,4.1%,243,9.6%,153
8,Raze,1.20,15.0,12.5,7.0,50%,2.7%,250,6.7%,102
9,Omen,0.74,11.5,15.5,3.5,0%,2.7%,200,13%,102
10,Breach,0.72,13.0,18.0,3.0,0%,1.4%,141,7.7%,51
11,Astra,1.64,18.0,11.0,4.0,100%,1.4%,237,5.6%,51
12,Cypher,0.70,14.0,20.0,3.0,0%,1.4%,168,7.1%,51
