,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.90,12.8,14.2,4.3,52.5%,17.6%,187,11.7%,"2,040"
1,Reyna,0.98,14.3,14.6,4.1,52.8%,15.9%,224,17.7%,"1,836"
2,Jett,1.09,13.8,12.7,4.5,69.2%,11.5%,223,15.6%,"1,326"
3,Raze,1.11,16.3,14.6,4.8,52.2%,10.1%,246,15.2%,"1,173"
4,Sova,0.79,12.0,15.1,5.3,50%,9.7%,181,14.8%,"1,122"
5,Omen,0.91,12.1,13.3,3.3,52.6%,8.4%,192,10%,969
6,Killjoy,0.95,13.0,13.7,3.8,55.6%,7.9%,193,14.1%,918
7,Viper,0.86,13.3,15.6,4.9,44.4%,4%,188,7.5%,459
8,Skye,0.82,11.4,14.0,3.8,55.6%,4%,182,11.7%,459
9,Yoru,1.07,15.9,14.9,5.0,50%,3.5%,219,14.2%,408
10,Brimstone,0.78,11.0,14.2,2.5,33.3%,2.6%,164,12.1%,306
11,Breach,0.66,10.3,15.5,5.3,0%,1.8%,157,14.6%,204
12,Phoenix,0.97,16.8,17.3,4.5,25%,1.8%,237,16.4%,204
13,Cypher,0.76,11.3,15.0,3.0,33.3%,1.3%,161,8.8%,153
