,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.07,15.8,14.8,3.1,41.7%,15.8%,219,17.9%,612
1,Sage,0.91,11.6,12.7,4.8,80%,13.2%,159,11.2%,510
2,Sova,0.83,11.8,14.2,4.1,50%,13.2%,176,6.8%,510
3,Jett,1.12,18.9,16.9,3.3,37.5%,10.5%,250,16.6%,408
4,Raze,0.82,10.7,13.0,4.7,71.4%,9.2%,177,14.7%,357
5,Killjoy,0.51,7.6,15.0,3.4,20%,6.6%,131,5.3%,255
6,Yoru,0.87,11.3,13.0,1.3,50%,5.3%,150,17.8%,204
7,Omen,1.17,13.8,11.8,2.5,75%,5.3%,211,10.9%,204
8,Viper,1.02,15.8,15.5,5.5,75%,5.3%,208,4.8%,204
9,Breach,0.89,13.0,14.7,3.3,66.7%,3.9%,184,7.7%,153
10,Astra,0.70,11.0,15.7,3.7,66.7%,3.9%,145,9.1%,153
11,Skye,0.91,15.0,16.5,4.5,50%,2.6%,232,13.3%,102
12,Brimstone,0.75,10.5,14.0,9.5,50%,2.6%,155,0%,102
13,Cypher,0.50,3.0,6.0,4.0,0%,1.3%,202,0%,51
14,Phoenix,0.91,10.0,11.0,10.0,100%,1.3%,183,20%,51
