,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.80,10.4,13.0,3.8,43.3%,18.3%,169,11.9%,"3,417"
1,Reyna,1.17,16.0,13.7,4.0,44.2%,11.7%,245,13.9%,"2,193"
2,Viper,0.78,11.8,15.2,4.8,40%,10.9%,181,16.3%,"2,040"
3,Jett,1.12,17.0,15.1,3.7,47.1%,9.3%,242,17.3%,"1,734"
4,Sova,0.91,13.1,14.5,5.7,45.5%,9%,197,11.8%,"1,683"
5,Killjoy,1.05,14.0,13.3,4.7,55.6%,7.4%,210,11.1%,"1,377"
6,Raze,1.01,13.7,13.5,4.3,50%,6.5%,226,12.5%,"1,224"
7,Omen,1.11,13.9,12.5,2.8,54.5%,6%,210,12.1%,"1,122"
8,Skye,0.72,10.7,14.8,3.9,52.6%,5.2%,156,12.8%,969
9,Phoenix,0.96,15.5,16.1,4.6,36.8%,5.2%,216,17%,969
10,Cypher,0.82,12.5,15.3,4.1,53.3%,4.1%,166,11.7%,765
11,Brimstone,0.82,11.5,14.0,7.1,54.5%,3%,174,15.9%,561
12,Yoru,0.91,14.3,15.7,4.6,71.4%,1.9%,201,14%,357
13,Breach,0.90,12.4,13.8,4.8,40%,1.4%,202,16.1%,255
14,Astra,1.11,10.0,9.0,6.0,100%,0.3%,184,0%,51
