,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.08,15.1,14.0,3.9,47.3%,16.2%,232,15.6%,"4,641"
1,Sage,0.98,13.4,13.6,4.1,57.8%,16%,195,13%,"4,590"
2,Viper,1.08,14.7,13.5,4.7,56.5%,11%,215,11.6%,"3,162"
3,Jett,1.21,16.1,13.2,3.3,60.3%,10.3%,238,17.2%,"2,958"
4,Raze,0.92,13.6,14.8,4.7,43.5%,8.2%,216,15%,"2,346"
5,Sova,0.87,12.6,14.4,5.5,40.9%,7.8%,187,9.5%,"2,244"
6,Omen,1.01,14.4,14.3,4.4,60.5%,7.7%,211,11.3%,"2,193"
7,Killjoy,1.01,13.2,13.0,4.3,55.2%,5.2%,207,10.2%,"1,479"
8,Phoenix,1.09,14.6,13.4,4.0,65.4%,4.6%,224,16.4%,"1,326"
9,Skye,0.89,13.1,14.7,3.9,50%,3.6%,192,14.2%,"1,020"
10,Brimstone,0.87,12.9,14.8,4.7,53.3%,2.7%,196,11.4%,765
11,Yoru,0.99,14.2,14.4,2.9,60%,2.7%,219,18.8%,765
12,Cypher,0.78,11.2,14.3,3.3,8.3%,2.1%,170,10.4%,612
13,Breach,0.97,12.9,13.3,5.0,42.9%,1.2%,210,11.1%,357
14,Astra,0.90,13.8,15.3,5.0,50%,0.7%,195,9.1%,204
