,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.26,19.1,15.1,3.7,50%,22.6%,257,15.4%,714
1,Viper,1.01,15.2,15.1,5.6,53.8%,21%,213,14.7%,663
2,Jett,1.28,20.1,15.7,2.8,58.3%,19.4%,266,18.3%,612
3,Sova,1.08,16.5,15.3,5.7,50%,9.7%,213,14.1%,306
4,Skye,1.19,15.5,13.0,4.7,66.7%,9.7%,230,11.8%,306
5,Cypher,1.10,17.3,15.8,2.3,25%,6.5%,217,8.7%,204
6,Sage,0.93,14.0,15.0,2.3,0%,4.8%,199,4.8%,153
7,Breach,0.96,13.0,13.5,10.5,100%,3.2%,202,3.8%,102
8,Raze,1.78,16.0,9.0,6.0,100%,1.6%,259,25%,51
9,Killjoy,0.67,12.0,18.0,4.0,100%,1.6%,155,16.7%,51
