,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.16,18.0,15.5,3.6,51.3%,18.3%,250,15.4%,"1,989"
1,Jett,1.13,17.9,15.8,3.6,50%,17.8%,244,17.8%,"1,938"
2,Viper,1.12,16.2,14.5,5.4,65.4%,12.2%,216,11.1%,"1,326"
3,Sage,1.17,13.7,11.7,3.8,65.2%,10.8%,206,12%,"1,173"
4,Skye,1.07,16.3,15.2,3.9,56.3%,7.5%,218,11.9%,816
5,Sova,0.87,12.4,14.2,5.3,50%,6.6%,180,12.6%,714
6,Omen,0.86,14.4,16.8,5.5,38.5%,6.1%,193,12.8%,663
7,Raze,1.15,17.0,14.7,3.9,63.6%,5.2%,243,10.7%,561
8,Yoru,0.86,15.0,17.4,3.3,14.3%,3.3%,194,16.2%,357
9,Phoenix,1.21,16.7,13.9,3.7,42.9%,3.3%,259,17.1%,357
10,Cypher,0.70,9.5,13.7,3.8,66.7%,2.8%,155,15.8%,306
11,Killjoy,0.96,11.2,11.7,3.2,50%,2.8%,188,10.4%,306
12,Breach,0.93,16.6,17.8,4.6,40%,2.3%,212,15.7%,255
13,Brimstone,1.25,20.0,16.0,8.0,100%,0.5%,257,20%,51
14,Astra,0.31,5.0,16.0,2.0,0%,0.5%,101,0%,51
