,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.22,17.8,14.6,4.5,54.8%,19%,259,17.5%,"2,142"
1,Jett,1.21,18.2,15.1,3.5,36.4%,14.9%,262,18.9%,"1,683"
2,Sage,1.05,14.2,13.6,4.1,44.4%,12.2%,213,13.1%,"1,377"
3,Viper,0.96,14.1,14.6,4.7,34.8%,10.4%,200,11.4%,"1,173"
4,Sova,0.95,14.2,14.9,5.0,23.5%,7.7%,192,7.5%,867
5,Omen,0.76,11.3,14.8,3.9,37.5%,7.2%,170,13.3%,816
6,Yoru,1.12,16.7,14.9,3.2,23.1%,5.9%,224,10.6%,663
7,Raze,0.88,12.9,14.7,4.0,40%,4.5%,207,13.2%,510
8,Phoenix,0.85,14.1,16.7,4.6,44.4%,4.1%,198,19.7%,459
9,Skye,0.72,11.0,15.3,3.4,44.4%,4.1%,166,13.1%,459
10,Brimstone,0.79,12.3,15.7,4.0,33.3%,2.7%,165,14.9%,306
11,Killjoy,0.88,11.8,13.5,4.3,50%,2.7%,186,18.3%,306
12,Cypher,0.82,14.2,17.4,4.6,20%,2.3%,187,11.3%,255
13,Astra,0.84,12.7,15.0,5.7,33.3%,1.4%,171,10.5%,153
14,Breach,1.11,15.0,13.5,4.5,50%,0.9%,206,13.3%,102
