,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.20,17.1,14.3,3.7,54%,21.8%,249,17.9%,"4,437"
1,Reyna,1.23,18.1,14.7,4.5,59.5%,19.8%,262,15.6%,"4,029"
2,Sage,1.00,13.8,13.8,4.5,52.2%,11.5%,196,12.4%,"2,346"
3,Viper,0.98,14.8,15.1,5.1,45.9%,9.3%,205,13.7%,"1,887"
4,Omen,0.97,13.7,14.0,4.6,51.7%,7.3%,197,12.1%,"1,479"
5,Sova,1.01,12.8,12.7,5.1,51.9%,6.8%,200,9.2%,"1,377"
6,Skye,0.91,14.7,16.1,4.8,36.8%,4.8%,201,14%,969
7,Killjoy,0.81,12.8,15.9,4.2,41.2%,4.3%,192,13.8%,867
8,Raze,1.08,16.4,15.1,4.3,43.8%,4%,227,12.2%,816
9,Cypher,0.96,14.5,15.1,3.9,45.5%,2.8%,208,11.9%,561
10,Breach,0.91,12.7,13.9,4.4,44.4%,2.3%,199,18.4%,459
11,Phoenix,0.93,15.1,16.3,3.1,37.5%,2%,213,12.4%,408
12,Brimstone,1.05,14.7,14.0,3.9,42.9%,1.8%,199,11.7%,357
13,Yoru,0.86,13.3,15.5,3.3,50%,1.5%,190,15%,306
14,Astra,0.93,13.0,14.0,6.0,100%,0.3%,179,0%,51
