,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.20,17.7,14.7,3.7,49.1%,18%,252,16.9%,"5,406"
1,Reyna,1.14,17.1,15.0,4.1,48.5%,16.8%,252,16.8%,"5,049"
2,Sage,0.99,13.7,13.9,4.5,50.6%,13.1%,198,13.2%,"3,927"
3,Viper,0.98,14.1,14.4,5.0,53.8%,8.8%,202,11.7%,"2,652"
4,Omen,0.84,12.4,14.7,4.3,37.8%,7.7%,189,10.8%,"2,295"
5,Sova,0.86,13.0,15.1,5.6,45.2%,7.1%,184,10.4%,"2,142"
6,Raze,1.07,14.8,13.9,4.0,50%,6.1%,231,13.3%,"1,836"
7,Yoru,1.01,15.8,15.7,3.5,48.1%,4.6%,213,14.3%,"1,377"
8,Phoenix,1.10,15.8,14.4,3.0,40.9%,3.7%,233,14.9%,"1,122"
9,Killjoy,0.84,12.0,14.2,3.5,50%,3.7%,195,14.4%,"1,122"
10,Skye,1.10,13.1,11.9,4.2,61.1%,3.1%,209,14%,918
11,Cypher,1.05,14.8,14.1,4.1,50%,2.7%,209,6.8%,816
12,Brimstone,1.33,16.5,12.4,5.8,75%,2.7%,235,10.2%,816
13,Astra,1.14,17.5,15.4,4.5,37.5%,1.4%,222,7.9%,408
14,Breach,1.50,24.0,16.0,7.0,50%,0.3%,281,14.6%,102
