,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,1.03,14.3,13.9,4.1,53.2%,16.3%,205,11.2%,"3,927"
1,Jett,1.10,16.9,15.3,3.8,47.4%,12.1%,244,18.4%,"2,907"
2,Reyna,1.24,16.8,13.6,4.1,53.2%,9.9%,245,17.1%,"2,397"
3,Viper,0.98,14.8,15.1,4.8,45.5%,9.3%,208,11.4%,"2,244"
4,Raze,0.96,14.3,14.9,4.5,41.7%,7.6%,221,14.4%,"1,836"
5,Omen,0.95,14.1,14.8,4.4,55.6%,7.6%,201,12%,"1,836"
6,Sova,0.97,14.2,14.7,5.5,69.4%,7.6%,199,12.5%,"1,836"
7,Skye,0.84,12.6,14.9,3.1,41.4%,6.1%,180,13.4%,"1,479"
8,Killjoy,1.01,14.3,14.2,3.3,40%,5.3%,204,10.6%,"1,275"
9,Brimstone,0.74,11.3,15.3,6.1,31.8%,4.7%,174,9.2%,"1,122"
10,Phoenix,0.99,13.7,13.8,3.2,50%,3.8%,213,21.1%,918
11,Yoru,1.10,15.0,13.7,3.3,46.7%,3.2%,231,15.6%,765
12,Cypher,1.07,14.5,13.5,3.8,41.7%,2.5%,204,10.3%,612
13,Breach,0.75,12.1,16.2,3.9,40%,2.1%,164,14.9%,510
14,Astra,1.00,12.6,12.6,3.8,33.3%,1.9%,197,12.4%,459
