,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.16,17.0,14.7,4.1,50%,17%,250,15.7%,"8,976"
1,Jett,1.19,17.7,14.8,3.7,51%,14.4%,250,16.5%,"7,599"
2,Sage,0.90,13.4,14.8,4.3,50%,13.3%,189,12.4%,"7,038"
3,Viper,1.04,14.3,13.7,4.7,50%,9.6%,203,12.8%,"5,100"
4,Sova,0.94,13.8,14.7,5.0,45.7%,8.9%,203,12.3%,"4,692"
5,Omen,0.93,14.1,15.1,4.4,56.1%,6.4%,201,11.9%,"3,366"
6,Raze,1.01,15.3,15.1,3.9,48.4%,6%,220,14%,"3,162"
7,Killjoy,1.00,13.8,13.9,3.9,55.1%,4.7%,199,10.9%,"2,499"
8,Skye,0.97,14.3,14.8,3.7,53.5%,4.1%,200,13.3%,"2,193"
9,Yoru,1.11,16.8,15.2,3.3,48.5%,3.2%,231,13.9%,"1,683"
10,Phoenix,1.11,15.3,13.8,3.7,46.9%,3.1%,231,16.9%,"1,632"
11,Brimstone,0.93,14.7,15.8,5.0,51.6%,3%,202,9.2%,"1,581"
12,Breach,0.97,13.9,14.3,4.2,60%,2.9%,208,14.4%,"1,530"
13,Cypher,0.79,12.1,15.3,3.9,38.5%,2.5%,168,8%,"1,326"
14,Astra,0.97,14.6,15.1,5.1,40%,1%,213,12.3%,510
