,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.01,15.8,15.7,3.7,50%,20%,223,20.2%,"1,122"
1,Viper,0.92,11.9,12.9,5.4,70.6%,15.5%,183,11.9%,867
2,Reyna,1.34,18.5,13.8,4.9,66.7%,13.6%,272,14.4%,765
3,Sage,1.07,13.2,12.4,3.6,71.4%,12.7%,199,7.6%,714
4,Skye,1.01,13.4,13.3,3.4,20%,9.1%,191,11.2%,510
5,Sova,0.70,10.8,15.3,5.4,62.5%,7.3%,156,11.6%,408
6,Omen,1.04,13.8,13.3,3.6,75%,7.3%,203,18.2%,408
7,Cypher,0.78,9.8,12.5,2.5,25%,3.6%,177,10.3%,204
8,Killjoy,0.77,11.5,15.0,4.0,25%,3.6%,187,6.5%,204
9,Yoru,0.86,14.0,16.3,2.8,0%,3.6%,244,25%,204
10,Raze,0.81,8.3,10.3,2.0,66.7%,2.7%,133,16%,153
11,Astra,0.47,8.0,17.0,4.0,0%,0.9%,126,12.5%,51
