,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.06,15.8,14.9,3.3,46.9%,19.9%,226,16.8%,"1,632"
1,Viper,0.94,13.4,14.3,4.6,35.7%,17.4%,199,11.7%,"1,428"
2,Reyna,1.26,18.9,15.0,4.2,50%,14.9%,262,16.1%,"1,224"
3,Sage,1.10,17.1,15.5,4.0,45%,12.4%,217,11.4%,"1,020"
4,Sova,0.80,11.5,14.5,6.6,36.4%,6.8%,174,6.3%,561
5,Skye,1.04,15.9,15.3,4.4,55.6%,5.6%,205,14.7%,459
6,Omen,0.90,14.9,16.5,5.4,62.5%,5%,197,16%,408
7,Phoenix,0.96,16.7,17.3,5.7,33.3%,3.7%,239,11%,306
8,Raze,1.14,16.0,14.0,3.8,60%,3.1%,223,8.8%,255
9,Cypher,0.84,15.2,18.0,5.2,20%,3.1%,179,11.8%,255
10,Yoru,1.04,15.6,15.0,3.2,40%,3.1%,219,15.4%,255
11,Killjoy,0.82,11.2,13.6,4.4,60%,3.1%,137,7.1%,255
12,Breach,0.46,5.5,12.0,3.0,50%,1.2%,81,27.3%,102
13,Astra,1.00,18.0,18.0,4.0,100%,0.6%,216,16.7%,51
