,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.10,16.9,15.4,3.8,37.3%,23.9%,241,15%,"2,601"
1,Jett,1.17,17.3,14.8,3.0,60%,18.8%,247,18%,"2,040"
2,Sage,1.02,14.1,13.8,4.4,57.1%,13.1%,196,9.9%,"1,428"
3,Viper,1.15,14.9,12.9,4.8,72.2%,8.5%,213,12.6%,918
4,Sova,0.91,14.6,16.1,6.6,64.7%,8%,196,10%,867
5,Skye,0.69,11.4,16.5,3.7,16.7%,5.6%,179,16.1%,612
6,Raze,0.88,13.5,15.4,4.5,36.4%,5.2%,204,18.9%,561
7,Omen,0.96,14.2,14.8,5.0,66.7%,4.2%,210,12.5%,459
8,Phoenix,1.12,17.3,15.4,3.9,85.7%,3.3%,240,18.2%,357
9,Killjoy,0.95,12.9,13.6,3.3,28.6%,3.3%,218,8.9%,357
10,Breach,0.83,12.5,15.0,4.8,75%,1.9%,200,20%,204
11,Yoru,0.95,12.3,13.0,3.0,33.3%,1.4%,220,21.6%,153
12,Brimstone,1.14,8.0,7.0,4.0,50%,0.9%,218,18.8%,102
13,Astra,1.16,18.0,15.5,5.0,50%,0.9%,236,13.9%,102
14,Cypher,0.85,11.5,13.5,3.5,100%,0.9%,159,8.7%,102
