,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,6.0,13%,73%,14%,121
1,Spectre,4.0,9.4%,77.4%,13.3%,93
2,Ares,3.4,7.4%,72.6%,20%,101
3,Phantom,3.4,11.5%,72.9%,15.6%,120
4,Odin,2.5,14.1%,57.1%,28.8%,124
5,Judge,2.3,5.5%,67.8%,26.7%,93
6,Bulldog,2.3,12.5%,77.5%,10%,104
7,Bucky,1.8,1.7%,68.3%,30%,113
8,Ghost,1.4,10.6%,77.7%,11.7%,76
9,Frenzy,1.3,14.6%,83.1%,2.2%,90
10,Operator,1.3,8.8%,86%,5.3%,136
11,Classic,1.1,10.4%,76%,13.6%,68
12,Guardian,1.1,0%,84%,16%,101
13,Stinger,0.8,17%,71.7%,11.3%,78
14,Sheriff,0.8,12.5%,80.8%,6.7%,82
15,Shorty,0.6,14.6%,64%,21.3%,66
16,Marshal,0.4,7.7%,92.3%,0%,95
