,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.4,20%,73.4%,6.5%,127
1,Phantom,6.2,17.2%,76%,6.8%,120
2,Operator,3.1,8.9%,87.7%,3.4%,144
3,Spectre,2.8,16.5%,75.5%,7.9%,97
4,Ghost,2.2,22.3%,72.1%,5.6%,87
5,Odin,1.7,2.8%,73.4%,23.9%,105
6,Classic,1.5,17.9%,75.6%,6.5%,75
7,Bulldog,1.5,15.6%,76.6%,7.8%,101
8,Sheriff,1.4,26%,68.9%,5.2%,108
9,Judge,1.4,15.1%,76.5%,8.3%,101
10,Frenzy,1.4,20.3%,73.7%,6%,84
11,Ares,1.4,9%,74.8%,16.2%,105
12,Bucky,1.3,17.1%,77.3%,5.6%,86
13,Guardian,1.1,19.4%,75.8%,4.8%,141
14,Marshal,1.0,24.4%,73.1%,2.6%,130
15,Stinger,0.9,19.6%,75.8%,4.6%,100
16,Shorty,0.8,22%,70.9%,7.1%,94
