,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,5.9,11.8%,73.1%,15%,121
1,Phantom,5.1,10.7%,73.9%,15.4%,119
2,Spectre,4.5,8.5%,76.6%,14.9%,93
3,Operator,4.1,13%,78.7%,8.3%,158
4,Ares,3.7,6.2%,71.9%,21.8%,102
5,Judge,2.4,9.4%,74.9%,15.7%,85
6,Ghost,2.1,10.6%,75.3%,14.1%,79
7,Odin,2.1,11.6%,59.1%,29.3%,107
8,Guardian,2.0,10.3%,70.7%,19%,127
9,Classic,1.6,11.1%,75.2%,13.7%,71
10,Sheriff,1.6,25.6%,68.3%,6.1%,107
11,Marshal,1.5,10.2%,83.7%,6.1%,107
12,Bulldog,1.4,9%,76.9%,14.1%,96
13,Frenzy,0.9,13%,77%,10%,73
14,Bucky,0.6,10.9%,75%,14.1%,87
15,Stinger,0.6,13.2%,71.1%,15.8%,95
16,Shorty,0.5,16.2%,67.6%,16.2%,70
