,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.0,22%,71.5%,6.5%,127
1,Phantom,7.1,18.5%,74.7%,6.8%,123
2,Spectre,2.9,16.9%,74%,9.1%,94
3,Operator,2.6,9.7%,87.7%,2.6%,145
4,Ghost,2.2,23.6%,70.5%,5.9%,85
5,Judge,2.2,10.8%,75.2%,14%,102
6,Ares,1.9,19.8%,70.9%,9.3%,110
7,Classic,1.5,20.1%,73.9%,6%,77
8,Sheriff,1.3,25%,69.6%,5.4%,105
9,Frenzy,1.3,20.1%,72.2%,7.7%,87
10,Odin,1.3,10.4%,76.8%,12.8%,101
11,Guardian,1.3,24.3%,71.4%,4.3%,137
12,Bulldog,1.1,23.2%,68.9%,7.9%,111
13,Bucky,1.0,14.8%,72.2%,13%,76
14,Marshal,0.8,14.5%,83.6%,1.8%,106
15,Stinger,0.8,11%,77.1%,11.9%,98
16,Shorty,0.6,15.4%,76.8%,7.7%,74
