,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,11.1,21.8%,72.9%,5.3%,126
1,Phantom,7.2,18.8%,74.7%,6.4%,120
2,Spectre,3.0,15.8%,77%,7.2%,91
3,Operator,2.8,4.6%,90.8%,4.6%,144
4,Ghost,2.1,25.7%,70.4%,3.9%,89
5,Judge,2.0,13.5%,77.2%,9.3%,99
6,Classic,1.6,19.9%,74.8%,5.3%,78
7,Sheriff,1.5,28.8%,68.5%,2.7%,110
8,Odin,1.4,14.9%,59.8%,25.3%,112
9,Marshal,1.2,25.6%,66.7%,7.7%,126
10,Bulldog,1.1,12.1%,82.8%,5.1%,95
11,Guardian,1.0,11.8%,88.2%,0%,114
12,Shorty,0.9,15.3%,74%,10.7%,86
13,Stinger,0.9,13%,72.2%,14.8%,67
14,Ares,0.9,4.1%,77%,18.9%,91
15,Frenzy,0.8,13.9%,78.7%,7.4%,78
16,Bucky,0.6,17.2%,75.9%,6.9%,71
