,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,8.0,13.4%,74.5%,12.1%,122
1,Phantom,6.2,11.1%,76.9%,12%,120
2,Spectre,4.4,9.9%,76.1%,14%,94
3,Ares,2.9,5.4%,73.3%,21.3%,101
4,Operator,2.5,9.5%,87.6%,2.9%,145
5,Odin,2.2,8.7%,70.6%,20.8%,116
6,Ghost,2.1,11.8%,77.2%,11%,81
7,Judge,1.9,10.8%,75.9%,13.4%,98
8,Classic,1.8,12.2%,77.1%,10.7%,70
9,Bulldog,1.7,12.4%,75.7%,11.9%,100
10,Marshal,1.4,26.2%,69%,4.8%,130
11,Frenzy,1.3,12.5%,77.6%,9.9%,76
12,Sheriff,1.2,16.6%,77.4%,6%,97
13,Guardian,1.1,11.6%,80.4%,8%,123
14,Shorty,1.0,11.6%,77.1%,11.3%,77
15,Stinger,0.9,10.3%,73.4%,16.3%,84
16,Bucky,0.8,11.2%,76.4%,12.4%,81
