,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,9.2,14.5%,75%,10.5%,122
1,Phantom,6.0,12.6%,75.6%,11.8%,118
2,Spectre,4.0,11.9%,75.9%,12.1%,94
3,Odin,3.4,9.9%,71.3%,18.8%,116
4,Ares,2.8,7.5%,70.5%,22%,101
5,Operator,2.8,8.7%,85.6%,5.7%,149
6,Ghost,2.3,16.7%,76.6%,6.6%,87
7,Classic,1.6,13.6%,76.4%,10%,72
8,Judge,1.6,12.4%,75.6%,11.9%,96
9,Guardian,1.5,15.6%,73.9%,10.6%,139
10,Frenzy,1.4,15.5%,77.3%,7.2%,84
11,Sheriff,1.3,19.1%,74.4%,6.5%,101
12,Bulldog,1.3,13.7%,72.7%,13.7%,104
13,Shorty,0.9,17.5%,75.5%,7%,80
14,Marshal,0.9,21.7%,73.4%,4.9%,113
15,Stinger,0.7,13.6%,74.1%,12.3%,94
16,Bucky,0.6,12.4%,75.2%,12.4%,85
