,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,16.5,22.9%,70.7%,6.4%,125
1,Phantom,11.4,21.7%,73.4%,4.9%,122
2,Spectre,4.3,17%,74.8%,8.3%,87
3,Ghost,3.0,28.4%,67.3%,4.3%,89
4,Operator,2.9,7.4%,88.2%,4.4%,146
5,Classic,2.8,22.9%,71.2%,5.9%,80
6,Sheriff,2.4,30.2%,66.3%,3.4%,108
7,Judge,2.0,17.2%,69.8%,13%,105
8,Guardian,1.3,31.8%,68.2%,0%,161
9,Stinger,1.2,17%,79.2%,3.8%,94
10,Frenzy,1.1,22%,70.8%,7.2%,76
11,Bulldog,0.9,17.1%,77.1%,5.7%,91
12,Shorty,0.8,9.2%,76.6%,14.1%,94
13,Marshal,0.8,26.7%,73.3%,0%,130
14,Ares,0.7,6.7%,40%,53.3%,87
15,Bucky,0.6,24.2%,75.8%,0%,93
