,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,9.6,23.2%,70.6%,6.1%,127
1,Phantom,7.4,20.6%,72.9%,6.5%,124
2,Operator,3.5,11.5%,85.8%,2.7%,148
3,Spectre,2.3,18.1%,72.7%,9.1%,92
4,Ghost,1.9,23%,72.4%,4.6%,84
5,Classic,1.7,20.4%,73.8%,5.8%,77
6,Sheriff,1.4,36.2%,59.2%,4.6%,109
7,Bulldog,1.3,20.3%,73.4%,6.3%,106
8,Frenzy,1.3,20.3%,73.8%,5.9%,77
9,Bucky,1.0,18.2%,81.8%,0%,102
10,Odin,1.0,30%,60%,10%,155
11,Judge,0.9,15%,73.5%,11.5%,80
12,Marshal,0.7,24.1%,69%,6.9%,119
13,Guardian,0.6,18.8%,75%,6.3%,98
14,Shorty,0.6,12%,80.4%,7.6%,65
15,Stinger,0.6,22.7%,65.9%,11.4%,123
16,Ares,0.5,0%,100%,0%,83
