,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.2,21.1%,73.1%,5.8%,124
1,Phantom,8.3,21%,71.5%,7.4%,124
2,Spectre,3.4,18.3%,73.9%,7.9%,90
3,Operator,3.2,17.4%,82.6%,0%,154
4,Judge,2.1,14.9%,77.9%,7.2%,103
5,Odin,2.0,9.4%,78.1%,12.5%,101
6,Sheriff,1.8,31%,63.6%,5.4%,107
7,Classic,1.7,22.1%,72%,5.9%,82
8,Ghost,1.7,26.3%,69.6%,4.1%,82
9,Bulldog,1.3,28.6%,67.9%,3.6%,110
10,Bucky,1.0,16.7%,50%,33.3%,115
11,Guardian,1.0,27.3%,68.2%,4.5%,126
12,Ares,1.0,0%,100%,0%,120
13,Marshal,0.9,21.4%,78.6%,0%,126
14,Frenzy,0.8,21.2%,70.5%,8.3%,76
15,Stinger,0.5,22.7%,72.7%,4.5%,109
16,Shorty,0.4,16.7%,75%,8.3%,82
