,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,13.1,24.4%,69.2%,6.3%,127
1,Phantom,8.3,23.6%,68.4%,8%,122
2,Spectre,2.9,21.2%,71%,7.9%,93
3,Operator,2.7,6.9%,91.4%,1.7%,146
4,Sheriff,2.2,32.5%,62.8%,4.7%,103
5,Stinger,1.8,20%,76%,4%,96
6,Ghost,1.7,25.6%,69.2%,5.2%,83
7,Marshal,1.5,33.3%,66.7%,0%,137
8,Frenzy,1.3,20.1%,75.4%,4.5%,89
9,Bucky,1.3,23.7%,71.1%,5.3%,98
10,Classic,1.1,21.5%,72.3%,6.2%,80
11,Judge,1.0,14.8%,77.4%,7.8%,80
12,Guardian,1.0,21.4%,78.6%,0%,123
13,Bulldog,1.0,19.4%,80.6%,0%,120
14,Odin,1.0,0%,80%,20%,184
15,Ares,1.0,0%,77.8%,22.2%,61
16,Shorty,0.8,3.8%,69.8%,26.4%,90
