,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.5,20.4%,73.3%,6.4%,127
1,Phantom,7.2,18.4%,74.1%,7.5%,122
2,Odin,4.8,16.9%,61.4%,21.7%,103
3,Operator,3.6,10.5%,88.2%,1.4%,152
4,Spectre,2.9,17.7%,72.9%,9.3%,96
5,Ghost,2.5,26.4%,69.6%,4%,84
6,Judge,2.3,15.8%,71.4%,12.8%,99
7,Classic,1.5,19.3%,74.8%,5.9%,76
8,Sheriff,1.4,25%,71.9%,3.1%,103
9,Marshal,1.3,22.6%,71%,6.5%,120
10,Frenzy,1.2,21.7%,70.4%,7.9%,90
11,Ares,1.1,7.4%,72.2%,20.4%,94
12,Guardian,1.1,39%,58.5%,2.4%,143
13,Bulldog,1.1,15.7%,77.1%,7.2%,107
14,Bucky,0.7,16.7%,81%,2.4%,60
15,Stinger,0.6,20.7%,71.7%,7.6%,83
16,Shorty,0.5,12.5%,73.8%,13.7%,86
