,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,9.7,19.3%,74.2%,6.6%,127
1,Phantom,6.2,18.1%,74.4%,7.5%,120
2,Operator,3.4,11%,84%,5%,148
3,Spectre,2.9,14.9%,75.2%,9.8%,96
4,Odin,2.2,10.1%,75.3%,14.6%,123
5,Ghost,2.1,23.5%,71.5%,4.9%,87
6,Judge,1.9,14.7%,73.5%,11.9%,96
7,Bulldog,1.7,16%,78.4%,5.6%,110
8,Sheriff,1.5,24.7%,69.2%,6.1%,106
9,Guardian,1.5,29.1%,66%,4.9%,143
10,Classic,1.4,17.6%,74.6%,7.8%,77
11,Frenzy,1.4,19.9%,73.9%,6.1%,85
12,Ares,1.2,7.3%,79.3%,13.4%,102
13,Marshal,1.0,17.1%,80.6%,2.3%,119
14,Shorty,0.9,13.7%,74.9%,11.3%,86
15,Stinger,0.9,18%,74.6%,7.4%,98
16,Bucky,0.8,8.8%,81.8%,9.5%,87
