,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,9.9,15.2%,76.2%,8.6%,124
1,Phantom,6.4,15.5%,74.2%,10.2%,121
2,Spectre,3.6,12.3%,76.6%,11%,98
3,Operator,3.1,10.8%,86.1%,3.2%,151
4,Odin,2.5,10.9%,70.3%,18.7%,113
5,Ghost,2.4,17.7%,74.8%,7.5%,84
6,Ares,2.1,9.5%,71.3%,19.2%,101
7,Guardian,1.7,24.5%,69.8%,5.8%,147
8,Judge,1.7,11.5%,73.6%,14.9%,95
9,Classic,1.6,14.9%,77.5%,7.6%,76
10,Sheriff,1.5,22.1%,72%,5.9%,106
11,Frenzy,1.5,14.5%,77.1%,8.4%,78
12,Marshal,1.2,24.9%,71.3%,3.9%,127
13,Bulldog,1.1,10.1%,80.5%,9.4%,103
14,Stinger,1.0,15.1%,72.5%,12.5%,95
15,Shorty,0.6,10.7%,75.1%,14.2%,75
16,Bucky,0.6,14.8%,78.6%,6.6%,86
