,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,11.5,18.1%,74.1%,7.8%,125
1,Phantom,7.3,17.5%,74.7%,7.9%,122
2,Spectre,3.4,14.1%,77%,8.9%,94
3,Operator,2.8,10.6%,86.6%,2.8%,149
4,Odin,2.6,10.2%,70.9%,18.9%,113
5,Ghost,2.4,21.3%,73%,5.7%,85
6,Judge,1.9,11.6%,72.5%,15.9%,98
7,Classic,1.7,17.2%,75.9%,7%,78
8,Frenzy,1.5,15.9%,76.4%,7.7%,80
9,Sheriff,1.4,23.1%,70.6%,6.4%,105
10,Ares,1.4,9.2%,71.4%,19.3%,102
11,Bulldog,1.2,19.6%,72.3%,8.1%,109
12,Guardian,1.1,22.4%,70.6%,7%,134
13,Marshal,1.1,28.4%,68%,3.6%,125
14,Stinger,0.8,18.4%,74.8%,6.8%,89
15,Bucky,0.7,17.6%,76.2%,6.2%,84
16,Shorty,0.6,13%,72.7%,14.2%,76
