,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,11.9,16.7%,75.2%,8.1%,126
1,Phantom,7.2,15.5%,75.4%,9.1%,122
2,Spectre,3.7,13.5%,76.2%,10.4%,94
3,Operator,3.1,8%,88.5%,3.5%,145
4,Odin,3.0,10%,73.9%,16.1%,118
5,Ghost,2.5,20.1%,74.2%,5.7%,86
6,Ares,2.1,8.5%,72.6%,19%,97
7,Classic,1.8,16%,77.2%,6.8%,73
8,Guardian,1.8,22.3%,71.8%,5.9%,144
9,Judge,1.7,12.3%,74.9%,12.8%,98
10,Sheriff,1.4,21.9%,72.9%,5.2%,103
11,Frenzy,1.4,17%,76.1%,6.9%,85
12,Bulldog,1.3,13.8%,75.6%,10.6%,105
13,Bucky,1.1,20.3%,72.6%,7.1%,86
14,Marshal,1.0,19.1%,77%,3.9%,116
15,Stinger,0.8,14.6%,77.8%,7.6%,88
16,Shorty,0.7,12.6%,71.1%,16.3%,77
