,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.90,12.9,14.3,4.3,61.1%,19.5%,178,12.7%,"1,836"
1,Jett,0.93,12.7,13.6,3.4,45.5%,11.9%,200,15.4%,"1,122"
2,Raze,0.98,12.4,12.7,3.2,50%,10.8%,201,15.3%,"1,020"
3,Reyna,1.17,15.3,13.1,3.6,47.4%,10.3%,244,13.4%,969
4,Phoenix,0.94,12.9,13.7,4.3,60%,8.1%,203,19.6%,765
5,Yoru,0.59,8.8,15.0,2.8,66.7%,6.5%,134,12.3%,612
6,Brimstone,0.99,13.1,13.3,7.1,83.3%,6.5%,197,9.6%,612
7,Killjoy,0.64,9.5,14.8,4.3,50%,5.4%,145,18.9%,510
8,Sova,0.79,11.5,14.5,4.5,60%,5.4%,185,17.4%,510
9,Viper,0.84,12.2,14.5,5.0,60%,5.4%,177,13.1%,510
10,Omen,0.90,11.5,12.8,4.3,60%,5.4%,181,14.8%,510
11,Skye,0.57,10.7,18.7,3.3,0%,1.6%,127,9.4%,153
12,Cypher,0.77,11.0,14.3,3.7,33.3%,1.6%,163,9.1%,153
13,Breach,0.87,11.3,13.0,3.3,66.7%,1.6%,209,17.6%,153
