,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.89,12.4,14.0,4.3,56.2%,18.8%,182,11.5%,"7,446"
1,Reyna,1.15,17.7,15.4,4.7,57.4%,13%,256,16.9%,"5,151"
2,Jett,1.05,15.3,14.6,3.7,52.4%,10.8%,224,15.8%,"4,284"
3,Omen,0.91,13.1,14.4,4.9,52.7%,9.5%,196,11.5%,"3,774"
4,Raze,1.02,16.0,15.7,4.7,41.2%,8.8%,241,15.1%,"3,468"
5,Sova,0.93,13.8,14.9,5.5,52.6%,7.4%,196,11.7%,"2,907"
6,Killjoy,0.98,13.4,13.6,3.9,59.6%,6.7%,203,11.2%,"2,652"
7,Phoenix,1.01,15.0,14.8,3.7,52.6%,4.9%,218,17.8%,"1,938"
8,Viper,1.09,14.5,13.3,4.6,62.9%,4.5%,208,9.6%,"1,785"
9,Brimstone,0.86,12.1,14.0,5.9,42.4%,4.3%,184,16.1%,"1,683"
10,Skye,0.81,12.8,15.7,4.0,24%,3.2%,189,15.7%,"1,275"
11,Yoru,0.93,14.1,15.2,3.6,44%,3.2%,207,13%,"1,275"
12,Cypher,0.86,12.9,15.1,4.5,45%,2.6%,187,10.4%,"1,020"
13,Breach,0.76,11.3,14.8,5.8,58.3%,1.5%,182,23.7%,612
14,Astra,0.75,12.0,16.0,4.6,60%,0.6%,157,11.7%,255
