,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.05,16.8,15.9,3.6,35.7%,13.9%,230,20.3%,"1,428"
1,Reyna,1.32,19.9,15.0,3.8,48.1%,13.4%,262,15.3%,"1,377"
2,Omen,0.90,14.5,16.0,6.3,47.8%,11.4%,203,9.6%,"1,173"
3,Sage,0.96,14.9,15.5,4.0,38.1%,10.4%,202,9%,"1,071"
4,Sova,0.93,14.6,15.7,6.1,50%,9%,199,11.1%,918
5,Cypher,0.94,14.4,15.2,4.4,52.9%,8.5%,202,9%,867
6,Raze,1.08,17.2,15.9,5.9,68.8%,8%,247,17.1%,816
7,Phoenix,0.85,14.2,16.7,4.5,25%,6%,217,17.6%,612
8,Killjoy,0.85,13.5,16.0,4.4,36.4%,5.5%,173,12.1%,561
9,Skye,1.16,14.6,12.6,3.5,50%,5%,231,5.5%,510
10,Brimstone,1.36,17.7,13.0,6.7,83.3%,3%,241,14.2%,306
11,Astra,1.43,17.5,12.3,5.0,75%,2%,240,8.6%,204
12,Viper,0.78,13.3,17.0,3.3,0%,1.5%,187,12.5%,153
13,Breach,0.76,13.0,17.0,7.0,66.7%,1.5%,165,15.4%,153
14,Yoru,1.95,19.5,10.0,2.5,50%,1%,309,7.7%,102
