,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.21,17.2,14.2,3.9,52.6%,17.9%,257,16.3%,"1,938"
1,Jett,1.14,17.3,15.2,3.9,62.5%,15.1%,247,19.5%,"1,632"
2,Sage,1.20,16.1,13.4,4.6,68.2%,10.4%,217,9.9%,"1,122"
3,Sova,0.95,13.7,14.5,5.7,52.6%,9%,201,11.5%,969
4,Omen,0.87,12.8,14.8,5.8,52.6%,9%,184,8.2%,969
5,Killjoy,1.12,17.3,15.5,4.0,53.3%,7.1%,228,7.7%,765
6,Raze,0.99,15.7,15.8,5.1,66.7%,5.7%,239,18.1%,612
7,Phoenix,0.94,16.8,17.9,4.6,70%,4.7%,241,19.6%,510
8,Cypher,0.93,14.1,15.2,3.7,30%,4.7%,204,7.1%,510
9,Brimstone,0.79,12.1,15.4,6.9,50%,3.8%,179,12.4%,408
10,Breach,0.79,12.9,16.3,7.6,37.5%,3.8%,188,21.4%,408
11,Skye,1.29,17.6,13.6,4.0,50%,3.8%,239,9.2%,408
12,Viper,1.32,18.2,13.8,7.0,60%,2.4%,250,11%,255
13,Astra,1.05,14.8,14.0,5.3,50%,1.9%,208,8.5%,204
14,Yoru,0.84,16.0,19.0,3.5,0%,0.9%,234,21.9%,102
