,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.73,10.7,14.6,3.6,47.1%,15%,155,8.2%,867
1,Reyna,0.89,14.2,15.9,4.9,50%,12.4%,209,15.1%,714
2,Omen,0.77,10.4,13.5,3.3,60%,8.8%,153,11.5%,510
3,Killjoy,0.64,7.8,12.2,3.1,60%,8.8%,139,6.4%,510
4,Sova,0.68,9.8,14.4,4.8,40%,8.8%,154,13.3%,510
5,Raze,0.75,11.7,15.6,4.8,22.2%,8%,180,9.5%,459
6,Jett,1.49,18.7,12.6,3.7,55.6%,8%,267,12.5%,459
7,Phoenix,1.06,14.3,13.5,3.5,50%,7.1%,217,14.9%,408
8,Skye,1.02,13.7,13.4,4.1,42.9%,6.2%,187,11.5%,357
9,Viper,0.81,13.3,16.5,4.2,33.3%,5.3%,198,12.5%,306
10,Brimstone,0.78,9.8,12.5,3.5,75%,3.5%,151,12.8%,204
11,Cypher,1.31,15.7,12.0,5.0,66.7%,2.7%,214,10.6%,153
12,Breach,1.00,13.0,13.0,6.7,66.7%,2.7%,200,12.8%,153
13,Yoru,0.68,10.5,15.5,3.5,0%,1.8%,174,28.6%,102
14,Astra,0.00,0.0,4.0,0.0,0%,0.9%,0,0%,51
