,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.15,17.2,15.0,4.5,49.5%,15.6%,245,16.9%,"5,559"
1,Jett,1.08,16.3,15.0,3.8,50.5%,13.6%,234,16.5%,"4,845"
2,Sage,0.98,13.7,14.0,4.4,50.5%,13.6%,202,11.6%,"4,845"
3,Omen,1.02,15.0,14.7,4.3,52.3%,9.3%,211,13.4%,"3,315"
4,Sova,0.89,12.7,14.4,5.4,49.2%,8.5%,192,12.4%,"3,009"
5,Killjoy,0.95,13.3,14.1,4.4,53.2%,6.7%,193,9.7%,"2,397"
6,Raze,1.08,15.1,14.0,5.0,58.5%,5.9%,239,15.5%,"2,091"
7,Phoenix,1.10,15.8,14.3,4.3,62.5%,5.7%,240,16%,"2,040"
8,Viper,0.98,14.2,14.4,5.0,52.9%,4.9%,206,12%,"1,734"
9,Cypher,0.96,14.6,15.2,5.0,58.6%,4.2%,202,10.9%,"1,479"
10,Brimstone,0.98,15.2,15.6,5.7,40%,3.6%,209,15.3%,"1,275"
11,Skye,1.08,17.3,16.1,4.5,65.2%,3.3%,220,14.1%,"1,173"
12,Breach,0.98,14.2,14.5,5.4,58.8%,2.4%,209,18.3%,867
13,Yoru,0.97,13.9,14.3,4.2,50%,1.7%,201,16.2%,612
14,Astra,0.94,13.0,13.8,2.8,33.3%,0.9%,169,5.1%,306
