,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.21,19.1,15.8,3.7,56%,18.1%,255,15.9%,"1,275"
1,Jett,1.25,18.8,15.0,3.7,45.8%,17.4%,263,18.8%,"1,224"
2,Omen,1.08,15.9,14.6,6.3,61.9%,15.2%,201,12.6%,"1,071"
3,Sage,0.97,13.9,14.3,4.9,50%,11.6%,196,8.1%,816
4,Cypher,0.88,13.3,15.1,3.5,81.8%,8%,175,14.4%,561
5,Sova,0.93,11.7,12.6,5.8,54.5%,8%,183,9.3%,561
6,Phoenix,1.04,17.6,17.0,3.5,87.5%,5.8%,248,23.4%,408
7,Killjoy,1.03,13.2,12.8,4.8,40%,3.6%,198,10.6%,255
8,Raze,1.01,17.8,17.5,2.5,50%,2.9%,234,21.1%,204
9,Brimstone,1.21,16.0,13.3,7.8,100%,2.9%,187,6.3%,204
10,Viper,1.11,17.0,15.3,6.0,66.7%,2.2%,218,15.7%,153
11,Breach,0.98,14.7,15.0,3.0,33.3%,2.2%,192,18.2%,153
12,Astra,0.62,8.0,13.0,2.5,50%,1.4%,103,6.3%,102
13,Skye,1.40,21.0,15.0,6.0,100%,0.7%,278,14.3%,51
