,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.06,17.2,16.2,3.6,51.1%,15.8%,233,17.6%,"2,295"
1,Reyna,1.08,16.5,15.3,4.2,52.3%,15.4%,238,17.6%,"2,244"
2,Sage,0.88,12.9,14.6,4.9,62.9%,12.3%,171,11.1%,"1,785"
3,Omen,0.97,14.4,14.9,5.9,62.5%,8.4%,197,15.3%,"1,224"
4,Raze,0.96,15.6,16.2,5.1,40%,7%,228,17.3%,"1,020"
5,Phoenix,0.91,13.8,15.1,3.6,55%,7%,208,19.3%,"1,020"
6,Sova,0.97,14.9,15.4,6.0,44.4%,6.3%,202,11.5%,918
7,Killjoy,1.01,13.3,13.1,3.5,42.9%,4.9%,205,11.3%,714
8,Cypher,0.99,14.6,14.8,4.6,50%,4.9%,198,15.2%,714
9,Viper,0.83,11.4,13.7,4.5,38.5%,4.6%,174,10.8%,663
10,Brimstone,0.99,14.5,14.6,6.5,54.5%,3.9%,195,9.4%,561
11,Skye,1.24,16.1,13.0,3.9,50%,3.5%,229,8.7%,510
12,Breach,0.98,15.3,15.5,4.9,37.5%,2.8%,217,13.1%,408
13,Astra,0.95,15.2,16.0,4.4,60%,1.8%,207,6.6%,255
14,Yoru,0.82,14.5,17.8,2.8,25%,1.4%,203,13.8%,204
