,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.08,16.4,15.2,3.9,59.1%,16.1%,227,19.7%,"1,122"
1,Sage,1.00,15.4,15.5,5.3,44.4%,13.1%,207,9.7%,918
2,Reyna,1.05,17.4,16.5,5.5,50%,13.1%,240,21.1%,918
3,Omen,0.74,11.6,15.8,5.6,29.4%,12.4%,165,14.1%,867
4,Sova,0.99,14.6,14.8,7.2,50%,10.2%,211,7.8%,714
5,Cypher,0.87,13.0,15.0,2.6,62.5%,5.8%,177,10.6%,408
6,Phoenix,1.05,18.2,17.3,4.2,33.3%,4.4%,244,19.3%,306
7,Killjoy,1.11,15.8,14.2,3.0,40%,3.6%,217,8.9%,255
8,Brimstone,0.80,14.0,17.6,6.8,20%,3.6%,208,8.6%,255
9,Raze,0.96,14.8,15.4,5.8,60%,3.6%,235,14.9%,255
10,Yoru,0.97,15.8,16.3,4.0,75%,2.9%,226,17.5%,204
11,Breach,0.82,11.8,14.3,9.3,25%,2.9%,196,8.5%,204
12,Astra,0.77,12.8,16.5,7.3,50%,2.9%,180,7.8%,204
13,Skye,0.75,13.8,18.3,3.0,75%,2.9%,163,10.9%,204
14,Viper,0.80,12.3,15.3,4.0,33.3%,2.2%,192,10.8%,153
