,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.09,15.9,14.7,3.0,52.3%,14.9%,232,17.3%,"2,244"
1,Sage,1.01,15.0,14.7,4.1,59.5%,14.2%,200,10.7%,"2,142"
2,Reyna,1.19,17.8,14.9,4.0,57.5%,13.6%,254,18.3%,"2,040"
3,Omen,0.90,14.4,16.1,4.8,36.1%,12.2%,196,12.5%,"1,836"
4,Sova,0.95,15.3,16.1,6.3,36.4%,7.5%,198,8.3%,"1,122"
5,Brimstone,1.02,15.3,15.1,7.2,38.9%,6.1%,213,6.5%,918
6,Raze,1.27,19.3,15.3,5.2,66.7%,6.1%,274,16.7%,918
7,Cypher,0.87,13.3,15.3,3.8,50%,5.4%,190,16.4%,816
8,Phoenix,0.86,13.7,15.9,3.9,21.4%,4.7%,208,16.7%,714
9,Skye,0.98,13.4,13.7,3.6,41.7%,4.1%,193,9.3%,612
10,Killjoy,0.91,14.3,15.6,5.1,66.7%,4.1%,199,10.5%,612
11,Breach,0.95,16.0,16.9,4.6,42.9%,2.4%,221,20.5%,357
12,Viper,0.89,14.3,16.2,4.0,50%,2%,184,19.8%,306
13,Yoru,1.20,18.3,15.3,3.5,50%,1.4%,245,16.4%,204
14,Astra,1.28,17.0,13.3,3.8,100%,1.4%,200,13.2%,204
