,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.29,20.4,15.7,3.9,63.2%,27.5%,274,21.7%,969
1,Sova,1.01,15.2,15.1,7.1,53.8%,18.8%,205,8.1%,663
2,Reyna,0.92,14.5,15.8,3.6,37.5%,11.6%,214,13.8%,408
3,Sage,1.02,14.3,14.0,5.6,71.4%,10.1%,194,11%,357
4,Omen,0.94,14.8,15.8,7.0,80%,7.2%,193,10.8%,255
5,Phoenix,0.90,15.5,17.3,3.8,25%,5.8%,229,14.5%,204
6,Cypher,0.64,9.5,14.8,3.8,25%,5.8%,155,15.8%,204
7,Brimstone,0.81,12.0,14.8,5.3,50%,5.8%,187,12.5%,204
8,Skye,0.53,9.0,17.0,3.3,0%,4.3%,137,22.2%,153
9,Killjoy,1.00,13.5,13.5,3.5,0%,2.9%,217,3.7%,102
