,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.83,12.1,14.5,4.2,47.8%,18.9%,177,11.5%,"3,519"
1,Reyna,1.08,15.2,14.0,3.5,50%,13.7%,232,15.4%,"2,550"
2,Jett,0.94,13.0,13.9,3.9,44.1%,9.3%,221,19.9%,"1,734"
3,Raze,0.99,14.3,14.5,4.1,50%,9.3%,213,14.2%,"1,734"
4,Killjoy,0.92,12.3,13.3,4.2,57.1%,7.7%,190,12.2%,"1,428"
5,Phoenix,0.89,13.3,15.0,3.4,24%,6.8%,200,14.5%,"1,275"
6,Viper,0.92,12.9,14.0,4.4,43.5%,6.3%,195,14.5%,"1,173"
7,Brimstone,0.84,10.8,12.8,4.9,45.5%,6%,175,11.8%,"1,122"
8,Omen,1.10,16.0,14.6,4.2,64.7%,4.7%,208,9.2%,867
9,Sova,0.84,14.0,16.7,6.3,50%,4.4%,182,11.2%,816
10,Cypher,0.99,14.6,14.8,4.6,75%,4.4%,187,8.2%,816
11,Skye,1.07,14.8,13.9,4.1,50%,3.3%,210,13.5%,612
12,Yoru,0.85,11.0,13.0,2.0,36.4%,3%,166,9.1%,561
13,Breach,0.60,8.0,13.3,5.0,25%,1.1%,141,12.5%,204
14,Astra,0.38,6.5,17.0,4.8,0%,1.1%,127,11.5%,204
