,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.13,17.1,15.1,3.4,50%,16.2%,244,16.6%,"2,550"
1,Jett,1.11,17.8,15.9,3.8,52.1%,15.6%,246,21%,"2,448"
2,Sage,1.00,13.6,13.6,4.1,58.5%,13.3%,188,10.4%,"2,091"
3,Sova,0.88,13.7,15.5,7.2,63.3%,9.7%,190,10.5%,"1,530"
4,Omen,0.95,14.8,15.5,6.6,66.7%,6.8%,203,11.6%,"1,071"
5,Killjoy,1.00,13.0,13.1,3.6,61.9%,6.8%,194,7.3%,"1,071"
6,Raze,0.88,12.9,14.6,3.6,42.1%,6.2%,214,15.9%,969
7,Cypher,0.82,12.8,15.5,4.2,27.8%,5.8%,184,11.3%,918
8,Brimstone,0.98,15.5,15.9,7.0,42.9%,4.5%,199,14.7%,714
9,Phoenix,1.03,15.7,15.2,3.7,50%,4.5%,235,12.3%,714
10,Viper,0.97,14.9,15.3,6.3,28.6%,2.3%,213,8.7%,357
11,Skye,0.97,16.0,16.4,3.9,57.1%,2.3%,222,15.2%,357
12,Astra,1.00,15.3,15.3,3.8,50%,1.9%,189,5.4%,306
13,Breach,1.26,15.5,12.3,4.3,66.7%,1.9%,235,17.2%,306
14,Yoru,0.97,14.7,15.2,3.0,33.3%,1.9%,204,23.9%,306
