,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.13,18.1,15.9,4.2,53.1%,18.6%,250,18.3%,"6,528"
1,Reyna,1.26,18.5,14.7,4.2,59.6%,14.3%,268,16.3%,"5,049"
2,Sage,0.91,13.6,15.0,4.3,49.5%,13.5%,187,10%,"4,743"
3,Omen,0.92,13.3,14.6,5.3,55.6%,9.1%,193,11.1%,"3,213"
4,Raze,0.98,15.3,15.6,5.0,54%,7.2%,232,15.9%,"2,550"
5,Sova,0.98,14.5,14.8,5.5,41.3%,6.7%,216,8.7%,"2,346"
6,Killjoy,1.03,13.7,13.2,3.9,48.8%,6.2%,213,11.4%,"2,193"
7,Phoenix,1.06,16.2,15.3,4.3,41%,5.7%,239,17.5%,"1,989"
8,Cypher,0.97,13.4,13.8,3.7,48.4%,4.5%,192,6.5%,"1,581"
9,Skye,0.92,14.2,15.5,4.0,34.8%,3.3%,211,13.2%,"1,173"
10,Viper,1.06,15.3,14.5,5.0,47.8%,3.3%,217,10.2%,"1,173"
11,Brimstone,1.04,16.0,15.3,7.5,40%,2.2%,234,11.3%,765
12,Breach,0.89,13.3,15.0,4.7,50%,2%,188,11.8%,714
13,Astra,0.96,14.3,14.8,5.8,41.7%,1.7%,195,4.1%,612
14,Yoru,0.87,14.5,16.6,4.2,36.4%,1.6%,207,13.8%,561
