,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.90,12.5,14.0,4.5,54.2%,18.6%,175,11.3%,"2,448"
1,Reyna,1.22,16.8,13.7,4.0,70.6%,13.2%,248,14.4%,"1,734"
2,Raze,1.01,15.7,15.6,5.2,66.7%,10.5%,234,15.1%,"1,377"
3,Jett,0.89,14.4,16.1,4.5,56.5%,8.9%,215,21.1%,"1,173"
4,Omen,0.83,12.6,15.3,5.0,61.9%,8.1%,177,11.7%,"1,071"
5,Skye,0.68,9.9,14.7,3.3,33.3%,7%,170,11.7%,918
6,Killjoy,1.01,14.4,14.2,4.8,64.7%,6.6%,202,13.9%,867
7,Phoenix,1.11,16.1,14.4,5.1,57.1%,5.4%,243,15.1%,714
8,Sova,0.92,12.8,13.9,5.9,46.2%,5%,189,13.8%,663
9,Brimstone,0.71,12.8,18.1,5.8,33.3%,4.7%,180,14.3%,612
10,Viper,0.89,12.9,14.5,4.9,54.5%,4.3%,181,4.9%,561
11,Cypher,0.74,11.5,15.5,3.3,37.5%,3.1%,163,10.9%,408
12,Yoru,0.96,11.0,11.5,4.0,50%,2.3%,182,12.1%,306
13,Astra,1.05,13.3,12.7,3.7,66.7%,1.2%,192,10%,153
14,Breach,0.30,3.3,11.0,2.3,33.3%,1.2%,75,10%,153
