,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.19,17.8,15.0,4.3,51.8%,15.6%,256,15.6%,"9,945"
1,Sage,0.92,13.2,14.3,4.5,51.4%,14.6%,186,10.9%,"9,333"
2,Jett,1.17,17.9,15.3,4.0,52.7%,13.3%,255,17.8%,"8,517"
3,Omen,0.96,15.1,15.7,5.4,49.6%,9.3%,210,12.2%,"5,967"
4,Sova,0.98,14.3,14.6,5.8,49.5%,8.2%,207,9.4%,"5,253"
5,Raze,0.97,14.8,15.2,4.2,46.5%,6.9%,225,13.9%,"4,386"
6,Phoenix,1.02,16.0,15.6,4.5,47.2%,5.7%,239,17.2%,"3,672"
7,Killjoy,0.87,12.4,14.2,3.7,41.4%,5.6%,190,10.9%,"3,570"
8,Brimstone,0.95,12.9,13.6,6.6,56.9%,5.2%,203,11.4%,"3,315"
9,Cypher,0.97,14.0,14.5,4.5,51.6%,4.9%,203,11.2%,"3,162"
10,Viper,0.96,14.0,14.7,5.4,56.5%,3.7%,193,9.2%,"2,346"
11,Skye,0.90,13.6,15.1,4.6,40%,2.4%,190,11.5%,"1,530"
12,Breach,1.10,15.9,14.5,5.2,81.8%,1.8%,222,14.9%,"1,122"
13,Astra,1.04,14.7,14.1,4.5,33.3%,1.4%,215,10.6%,918
14,Yoru,0.78,12.8,16.5,4.3,41.2%,1.4%,186,17.4%,867
