,Agent Name,KD,Kills,Deaths,Assists
0,Sage,0.91,12.8,14.0,4.5
1,Reyna,1.10,16.6,15.1,4.3
2,Jett,1.07,15.8,14.8,4.0
3,Omen,0.96,14.1,14.8,4.7
4,Killjoy,0.97,13.3,13.7,4.3
5,Sova,0.92,13.2,14.4,5.6
6,Raze,1.00,15.5,15.5,5.0
7,Viper,1.05,14.5,13.8,4.8
8,Phoenix,1.05,14.9,14.3,3.8
9,Brimstone,0.90,13.3,14.7,6.0
10,Cypher,0.92,13.4,14.6,4.3
11,Skye,0.87,13.2,15.1,4.0
12,Yoru,0.94,14.1,15.0,3.4
13,Breach,0.95,13.3,14.0,4.9
14,Astra,0.92,14.0,15.2,4.8
