,Agent Name,KD,Kills,Deaths,Assists
0,Reyna,1.16,17.7,15.2,4.3
1,Jett,1.10,16.8,15.3,3.6
2,Sage,1.00,14.1,14.1,4.3
3,Omen,0.95,14.5,15.2,5.0
4,Raze,1.03,16.4,15.9,5.1
5,Sova,0.94,14.3,15.3,5.9
6,Killjoy,0.97,13.4,13.9,4.3
7,Cypher,1.02,14.8,14.5,4.1
8,Brimstone,0.96,14.3,15.0,6.5
9,Phoenix,0.91,14.2,15.6,4.0
10,Viper,0.98,14.5,14.8,5.1
11,Skye,0.94,14.3,15.1,3.9
12,Yoru,1.00,15.8,15.7,3.4
13,Breach,0.84,13.2,15.6,5.9
14,Astra,1.06,15.6,14.7,4.8
