,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.12,17.5,15.6,3.7,45.9%,16.4%,248,19.4%,"14,790"
1,Reyna,1.14,17.8,15.6,4.0,46.5%,15.4%,252,15.7%,"13,821"
2,Sage,1.01,14.1,14.0,4.4,56.5%,14.1%,198,12.4%,"12,648"
3,Omen,0.97,14.8,15.2,5.6,55.2%,8.2%,206,11.8%,"7,395"
4,Sova,0.95,13.9,14.7,6.3,55.9%,7.7%,200,9.7%,"6,936"
5,Raze,1.06,16.3,15.3,4.9,54%,7.1%,247,16.2%,"6,426"
6,Killjoy,0.98,13.7,14.0,3.8,54.5%,7%,198,9%,"6,273"
7,Viper,1.02,15.1,14.7,5.5,55.8%,4.4%,207,11.7%,"3,927"
8,Cypher,0.88,12.9,14.6,3.8,40.5%,4.2%,183,9.7%,"3,774"
9,Phoenix,1.04,15.9,15.3,3.8,43.8%,4.1%,235,16.1%,"3,723"
10,Skye,0.99,15.0,15.1,4.1,55.1%,3.9%,205,11.7%,"3,519"
11,Brimstone,0.97,14.6,15.1,6.8,50.9%,3.2%,200,13.1%,"2,907"
12,Breach,0.95,14.6,15.4,4.7,50%,1.6%,201,14.6%,"1,428"
13,Yoru,0.91,14.6,16.0,3.3,20.8%,1.4%,205,18.2%,"1,224"
14,Astra,0.97,15.1,15.6,5.0,45.8%,1.4%,198,9.4%,"1,224"
